
????

  ??  ????          ????        ??           PID
  TCP    127.0.0.1:63023        127.0.0.1:57306        ESTABLISHED     4672
  TCP    127.0.0.1:63062        127.0.0.1:57306        ESTABLISHED     4672
  TCP    127.0.0.1:63227        127.0.0.1:57306        ESTABLISHED     4672
  TCP    127.0.0.1:63233        127.0.0.1:57306        ESTABLISHED     4672
  TCP    127.0.0.1:63268        127.0.0.1:57306        ESTABLISHED     4672
  TCP    127.0.0.1:63382        127.0.0.1:57306        ESTABLISHED     4672
  TCP    127.0.0.1:63403        127.0.0.1:57306        ESTABLISHED     4672
  TCP    127.0.0.1:63423        127.0.0.1:57306        ESTABLISHED     4672
  TCP    127.0.0.1:63558        127.0.0.1:57306        ESTABLISHED     4672
  TCP    127.0.0.1:63561        127.0.0.1:57306        ESTABLISHED     4672
  TCP    127.0.0.1:63710        127.0.0.1:57306        ESTABLISHED     4672
  TCP    127.0.0.1:63729        127.0.0.1:57306        ESTABLISHED     4672
  TCP    127.0.0.1:63862        127.0.0.1:57306        ESTABLISHED     4672
  TCP    127.0.0.1:63896        127.0.0.1:57306        ESTABLISHED     4672
  TCP    127.0.0.1:63916        127.0.0.1:57306        ESTABLISHED     4672
  TCP    127.0.0.1:64061        127.0.0.1:57306        ESTABLISHED     4672
  TCP    127.0.0.1:64154        127.0.0.1:57306        ESTABLISHED     4672
  TCP    127.0.0.1:64228        127.0.0.1:57306        ESTABLISHED     4672
  TCP    127.0.0.1:64355        127.0.0.1:57306        ESTABLISHED     4672
  TCP    127.0.0.1:64390        127.0.0.1:57306        ESTABLISHED     4672
  TCP    127.0.0.1:64504        127.0.0.1:57306        ESTABLISHED     4672
  TCP    127.0.0.1:64549        127.0.0.1:57306        ESTABLISHED     4672
  TCP    127.0.0.1:64624        127.0.0.1:7897         ESTABLISHED     38648
  TCP    127.0.0.1:64711        127.0.0.1:57306        ESTABLISHED     4672
  TCP    127.0.0.1:64987        127.0.0.1:57306        ESTABLISHED     4672
  TCP    127.0.0.1:65354        127.0.0.1:31100        ESTABLISHED     6956
  TCP    127.0.0.1:65355        127.0.0.1:35600        ESTABLISHED     17024
  TCP    127.0.0.1:65404        127.0.0.1:50052        ESTABLISHED     6956
  TCP    192.168.0.100:139      0.0.0.0:0              LISTENING       4
  TCP    192.168.112.1:139      0.0.0.0:0              LISTENING       4
  TCP    192.168.166.167:139    0.0.0.0:0              LISTENING       4
  TCP    192.168.166.167:49464  153.3.46.86:8080       ESTABLISHED     26236
  TCP    192.168.166.167:49671  118.89.214.91:443      ESTABLISHED     6304
  TCP    192.168.166.167:49763  123.133.75.96:443      CLOSE_WAIT      26236
  TCP    192.168.166.167:53069  103.181.165.153:53539  ESTABLISHED     45292
  TCP    192.168.166.167:57259  140.207.120.159:443    CLOSE_WAIT      4672
